id,date,opponent,result,assists
0022201228,04-09-2023,LAL vs. UTA,W,28
0022201212,04-07-2023,LAL vs. PHX,W,25
0022201196,04-05-2023,LAL @ LAC,L,27
0022201186,04-04-2023,LAL @ UTA,W,27
0022201171,04-02-2023,LAL @ HOU,W,36
0022201157,03-31-2023,LAL @ MIN,W,28
0022201140,03-29-2023,LAL @ CHI,W,22
0022201114,03-26-2023,LAL vs. CHI,L,24
0022201106,03-24-2023,LAL vs. OKC,W,20
0022201092,03-22-2023,LAL vs. PHX,W,27
0022201070,03-19-2023,LAL vs. ORL,W,25
0022201054,03-17-2023,LAL vs. DAL,L,23
0022201038,03-15-2023,LAL @ HOU,L,21
0022201030,03-14-2023,LAL @ NOP,W,24
0022201019,03-12-2023,LAL vs. NYK,L,24
0022201003,03-10-2023,LAL vs. TOR,W,28
0022200984,03-07-2023,LAL vs. MEM,W,27
0022200964,03-05-2023,LAL vs. GSW,W,29
0022200955,03-03-2023,LAL vs. MIN,L,23
0022200940,03-01-2023,LAL @ OKC,W,22
0022200927,02-28-2023,LAL @ MEM,L,22
0022200913,02-26-2023,LAL @ DAL,W,25
0022200893,02-23-2023,LAL vs. GSW,W,30
0022200882,02-15-2023,LAL vs. NOP,W,32
0022200867,02-13-2023,LAL @ POR,L,24
0022200853,02-11-2023,LAL @ GSW,W,19
0022200834,02-09-2023,LAL vs. MIL,L,23
0022200821,02-07-2023,LAL vs. OKC,L,27
0022200798,02-04-2023,LAL @ NOP,L,30
0022200778,02-02-2023,LAL @ IND,W,29
0022200765,01-31-2023,LAL @ NYK,W,29
0022200757,01-30-2023,LAL @ BKN,L,24
0022200749,01-28-2023,LAL @ BOS,L,30
0022200729,01-25-2023,LAL vs. SAS,W,25
0022200719,01-24-2023,LAL vs. LAC,L,21
0022200705,01-22-2023,LAL @ POR,W,23
0022200690,01-20-2023,LAL vs. MEM,W,24
0022200677,01-18-2023,LAL vs. SAC,L,26
0022200664,01-16-2023,LAL vs. HOU,W,23
0022200655,01-15-2023,LAL vs. PHI,L,28
0022200630,01-12-2023,LAL vs. DAL,L,24
0022200609,01-09-2023,LAL @ DEN,L,20
0022200595,01-07-2023,LAL @ SAC,W,26
0022200590,01-06-2023,LAL vs. ATL,W,33
0022200574,01-04-2023,LAL vs. MIA,W,20
0022200551,01-02-2023,LAL @ CHA,W,26
0022200530,12-30-2022,LAL @ ATL,W,34
0022200518,12-28-2022,LAL @ MIA,L,25
0022200505,12-27-2022,LAL @ ORL,W,32
0022200494,12-25-2022,LAL @ DAL,L,18
0022200492,12-23-2022,LAL vs. CHA,L,27
0022200475,12-21-2022,LAL @ SAC,L,25
0022200459,12-19-2022,LAL @ PHX,L,13
0022200451,12-18-2022,LAL vs. WAS,W,29
0022200437,12-16-2022,LAL vs. DEN,W,29
0022200413,12-13-2022,LAL vs. BOS,L,23
0022200396,12-11-2022,LAL @ DET,W,31
0022200382,12-09-2022,LAL @ PHI,L,29
0022200366,12-07-2022,LAL @ TOR,L,16
0022200360,12-06-2022,LAL @ CLE,L,16
0022200349,12-04-2022,LAL @ WAS,W,34
0022200331,12-02-2022,LAL @ MIL,W,32
0022200324,11-30-2022,LAL vs. POR,W,28
0022200308,11-28-2022,LAL vs. IND,L,23
0022200288,11-26-2022,LAL @ SAS,W,25
0022200282,11-25-2022,LAL @ SAS,W,28
0022200259,11-22-2022,LAL @ PHX,L,19
0022200247,11-20-2022,LAL vs. SAS,W,29
0022200234,11-18-2022,LAL vs. DET,W,29
0022200198,11-13-2022,LAL vs. BKN,W,25
0022200183,11-11-2022,LAL vs. SAC,L,22
0022200170,11-09-2022,LAL @ LAC,L,26
0022200157,11-07-2022,LAL @ UTA,L,15
0022200140,11-06-2022,LAL vs. CLE,L,24
0022200131,11-04-2022,LAL vs. UTA,L,22
0022200117,11-02-2022,LAL vs. NOP,W,30
0022200095,10-30-2022,LAL vs. DEN,W,24
0022200076,10-28-2022,LAL @ MIN,L,20
0022200064,10-26-2022,LAL @ DEN,L,25
0022200037,10-23-2022,LAL vs. POR,L,26
0022200016,10-20-2022,LAL vs. LAC,L,23
0022200002,10-18-2022,LAL @ GSW,L,23
